SPRO - Mission Dolores/Castro,4.7(247),Cafe · 500 Church St,Minimalist cafe brewing craft coffee,Open ⋅ Closes 5 PM
Stable Cafe,4.6(834) · $$,Cafe · 2128 Folsom St,Coffeehouse in former carriage house,Open ⋅ Closes 3 PM
Stanza Coffee Bar,4.2(204) · $,Coffee shop · 1673 Haight St,Upbeat nook serving espresso & pastries,Open ⋅ Closes 3 PM
Starbucks,4.2(493) · $$,Coffee shop · 865 Market Street San Francisco Centre,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 7:30 PM
Starbucks,3.7(760) · $$,Coffee shop · 499 Bay St,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 6 PM
Starbucks,4.1(456) · $$,Coffee shop · 565 Clay St,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 5:30 PM
Starbucks,4.1(435) · $$,Coffee shop · 49 Jefferson St P,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 6 PM
Starbucks,3.8(272) · $$,Coffee shop · 789 Mission St,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 7 PM
Starbucks,4.2(163) · $$,Coffee shop · 100 1st St,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 6 PM
Starbucks,3.9(365) · $$,"Coffee shop · Levi's Plaza, 1255 Battery St",Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 6 PM
Starbucks,4.5(502) · $$,Coffee shop · 201 Mission St,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 6 PM
Starbucks,4.2(205) · $$,Coffee shop · 580 California St #150,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 5:30 PM
Starbucks,4.2(187) · $$,Coffee shop · 425 Battery St,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 5 PM
Starbucks,3.8(255) · $$,Coffee shop · 780 Market St,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 7 PM
Starbucks,3.8(193) · $$,Coffee shop · 99 Jackson St,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 6 PM
Sutter Street Cafe,4.7(107),Cafe · 450 Sutter St #7,Small sandwich shop with coffee & sweets,Open ⋅ Closes 4 PM
Sweetheart Cafe,4.2(210) · $,Coffee shop · 909 Grant Ave,Light Asian bites & sweet treats,Open ⋅ Closes 7 PM
Tallio's Coffee & Tea,4.7(41) · $,Coffee shop · 4732 3rd St,Open ⋅ Closes 4 PM,
Tarragon Cafe,4.6(112),Cafe · 200 Fillmore St,Open ⋅ Closes 5 PM,
Telescope Coffee,4.8(132),Coffee shop · 345 6th St,Temporarily closed,
